nombre,artista_id
Lady Gaga,1
Bruno Mars,2
ROSÉ,3
Billie Eilish,4
Jimin,5
Oscar Maydon,6
Fuerza Regida,7
Gracie Abrams,8
Sabrina Carpenter,9
Gigi Perez,10
Chappell Roan,11
KAROL G,12
Benson Boone,13
The Weeknd,14
Playboi Carti,15
Teddy Swims,16
Feid,17
DFZM,18
Ovy On The Drums,19
J Balvin,20
Maluma,21
Ryan Castro,22
Blessd,23
Tito Double P,24
Tyler,25
The Creator,26
Daniel Caesar,27
The Neighbourhood,28
Peso Pluma,29
Shaboozey,30
LISA,31
Coldplay,32
Arctic Monkeys,33
MC Tuto,34
DJ Glenner,35
Anitta,36
Omar Courtz,37
De La Rose,38
Myke Towers,39
benny blanco,40
JENNIE,41
Lily-Rose Depp,42
Hozier,43
Travis Scott,44
Gabito Ballesteros,45
Natanael Cano,46
Luis R Conriquez,47
Neton Vega,48
Linkin Park,49
Lord Huron,50
Ariana Grande,51
Djo,52
Post Malone,53
Morgan Wallen,54
FloyyMenor,55
Cris Mj,56
Artemas,57
Mariah Carey,58
The Goo Goo Dolls,59
Kabza De Small,60
Vigro Deep,61
DJ Maphorisa,62
Scotts Maphuma,63
Young Stunna,64
Blaq Major,65
BLESS THE GENTLEMAN,66
DJ KAP,67
Mthandeni SK,68
MaWhoo,69
Mr Pilato,70
Ego Slimflow,71
Tebogo G Mashego,72
SJE Konka,73
Focalistic,74
CowBoii,75
Caiiro,76
Ami Faku,77
Dlala Thukzin,78
Zeh McGeba,79
MK Productions,80
Casswell P,81
Nobuhle,82
Kharishma,83
Ba Bethe Gashoazen,84
2Point1,85
BelloM,86
Epic DJ,87
DJ Seneath,88
X-Morizo,89
Felo Le Tee,90
Thabza Tee,91
Djy Biza,92
Blacko SA,93
Mellow & Sleazy,94
Usimamane,95
Sjava,96
Wanitwa Mos,97
Nkosazana Daughter,98
Master KG,99
Big Zulu,100
Zee Nxumalo,101
Cyfred,102
Mawelele,103
Kwesta,104
Bassie,105
M-Touch,106
Ranger,107
Amaza,108
LeeMcKrazy,109
Tman Xpress,110
DoouShii,111
Tycoon,112
Sly,113
Dladla Mshunqisi,114
Goldmax,115
TNK MusiQ,116
Seun1401,117
The Exclusive SA,118
Kabelo Sings,119
Bontle Smith,120
2woshort,121
Stompiiey,122
Khathapillar,123
Sol Phenduka,124
Smash SA,125
Kamoh Xaba,126
Lwah Ndlunkulu,127
Funky Qla,128
Mjolisi,129
Mnqobi yazo,130
Sminofu,131
Eltee,132
Novatron,133
Umafikizolo,134
Umashotana,135
Msongi,136
Cici,137
Sir Trill,138
Dot Mega,139
Q Twins,140
Uncle Waffles,141
Royal MusiQ,142
OHP Sage,143
Pcee,144
Officixl Rsa,145
Danny Shades,146
Mshinwemali,147
Shenge wasehlalankosi,148
Mthunzi,149
Sizwe Alakine,150
Umthakathi Kush,151
Aymos,152
Mas Musiq,153
Pabi Cooper,154
Thebuu,155
Lajere man,156
DJ DADAMAN,157
Tyler ICU,158
Visca,159
Ceeka RSA,160
Sjavasdadeejayj,161
Al xapo,162
DJ Stokie,163
Zee_nhle,164
Sobzeen,165
Faith Strings,166
Lawd Weezy,167
TO Starquality,168
Chley,169
Bandros,170
Kelvin Momo,171
Mr. Maker,172
Makhadzi Entertainment,173
Dr Skaro,174
Babethe Gashoazen,175
Iyanya,176
Prince Benza,177
015 MusiQ & Van City MusiQ,178
Veyane,179
Babalwa M,180
Stixx,181
Nvcho,182
GloRilla,183
Sexyy Red,184
Lil Wayne,185
Teezo Touchdown,186
Lola Young,187
Zach Bryan,188
Kacey Musgraves,189
ScHoolboy Q,190
Santigold,191
Noah Kahan,192
Kali Uchis,193
Kendrick Lamar,194
The Marías,195
Tommy Richman,196
The Kid LAROI,197
Wham!,198
ERNEST,199
Gunna,200
fallen777angel,201
OSTY,202
Klavdia Petrivna,203
FRIENDLY THUG 52 NGG,204
HOMINID,205
CØV3R1st,206
FORTUNA 812,207
Wellboy,208
Parfeniuk,209
Domiy,210
Okean Elzy,211
shadowraze,212
KRBK,213
Poshlaya Molly,214
SadSvit,215
СТРУКТУРА ЩАСТЯ,216
MONATIK,217
кис-кис,218
fleurnothappy,219
DOROFEEVA,220
LEBIGA,221
KRISTIEE,222
mapt0v,223
Ariis,224
zhanulka,225
CHEEV,226
Charli xcx,227
Artem Pivovarov,228
OKS,229
Геля Зозуля,230
Adam,231
FACE,232
Violetta Sokolova,233
Kalush Orchestra,234
ENINA,235
V,236
BABYMONSTER,237
aespa,238
邱軍,239
Jay Chou,240
理想混蛋,241
ILLIT,242
TZUYU,243
G-DRAGON,244
Firdhaus,245
DIOR 大穎,246
Jin,247
KATSEYE,248
高爾宣 OSN,249
Patrick Brasca,250
Amazing Show,251
KISS OF LIFE,252
陳華,253
Lee Young Ji,254
D.O.,255
LE SSERAFIM,256
Silence Wang,257
單依純,258
EggPlantEgg,259
颜人中,260
Jung Kook,261
Latto,262
ZICO,263
SEVENTEEN,264
DJ Khaled,265
卢卢快闭嘴,266
(G)I-DLE,267
NewJeans,268
Ashin Chen,269
Dedublüman,270
Aleyna Tilki,271
Ati242,272
Melike Şahin,273
Era7capone,274
Batuflex,275
Narco,276
BLOK3,277
Afra,278
NASTEISHA,279
Semicenk,280
Canbay & Wolker,281
ElMusto,282
Organize,283
Bengü,284
Simge,285
Can Kazaz,286
Yusuf Güney,287
Jeff Redd,288
Emir Can İğrek,289
Nazan Öncel,290
Yalın,291
Doğu Swag,292
Göksel,293
Lvbel C5,294
AKDO,295
Heijan,296
Muti,297
Tuğçe Kandemir,298
Gülşen,299
Murat Boz,300
Emre Fel,301
Murat Dalkılıç,302
M Lisa,303
Cocktail,304
Q Flure,305
ROSALÍA,306
Jack Harlow,307
PP Krit,308
TEN,309
Violette Wautier,310
Lipta,311
Mirrr,312
THE TOYS,313
NONT TANONT,314
PUN,315
fellow fellow,316
guncharlie,317
Ink Waruntorn,318
Paper Planes,319
JOEY PHUWASIT,320
YEW,321
Jeff Satur,322
เล็กสเร็น,323
BOWKYLION,324
ASIA7,325
AYLA's,326
No One Else,327
Polycat,328
Three Man Down,329
Musketeers,330
BUS,331
Agust D,332
MEYOU,333
ATL Jacob,334
Engel Montaz,335
Kuv507,336
Latinnites Music,337
Aventura,338
Grupo Frontera,339
Grupo Firme,340
Maisak,341
SOG,342
Bad Bunny,343
Julión Álvarez y su Norteño Banda,344
Kapo,345
Carin Leon,346
Rvssian,347
Rauw Alejandro,348
Ayra Starr,349
Plan B,350
Calle 24,351
Chino Pacas,352
Young Miko,353
Don Omar,354
Lyanno,355
Brray,356
Junior H,357
Zion,358
Jory Boy,359
Ken-Y,360
Tony Dize,361
Romeo Santos,362
Drake,363
Viktor Sheen,364
Saul,365
SIMILIVINLIFE,366
Yzomandias,367
Nik Tendo,368
Hard Rico,369
Lil Buca Near,370
Pil C,371
Luca Brassi10x,372
Separ,373
Trabo,374
Peter Pann,375
Zayo,376
Rytmus,377
Jerry Lee,378
P T K,379
Ektor,380
Crosso,381
Tisci,382
Dano Kapitán,383
Shimmi,384
GABRIELL,385
Ndotz,386
Dollar Prync,387
Disturbed,388
CYRIL,389
Calin,390
Call Dominika,391
keshi,392
Addison Rae,393
Taylor Swift,394
Regina Song,395
One Direction,396
IVE,397
David Guetta,398
*NSYNC,399
Molly Sandén,400
Victor Leksell,401
Yasin,402
Asme,403
Shiro,404
Miriam Bryant,405
BoBa,406
Malik Dalasi,407
Humlan Djojj,408
Josefine Götestam,409
Y4ska,410
Jireel,411
ROMANOS,412
Bolaget,413
Soppgirobygget,414
Babblarna,415
Dizzy,416
23,417
Prilla Generalen,418
Sarettii,419
Adel,420
Dani M,421
Miss Li,422
Dasha,423
Purple Disco Machine,424
Benjamin Ingrosso,425
Nile Rodgers,426
Shenseea,427
25,428
Philippe,429
Fu3go,430
Myles Smith,431
LOAM,432
FRÖKEN SNUSK,433
ADAAM,434
Trobi,435
Hooja,436
Bee Remix,437
umiy,438
Hassan El Rassam,439
Nasrat Al Bader,440
Ayed,441
Saif Amer,442
Kstr,443
Qaed Helmy,444
74 Original Suppa,445
DEE PRODUCTION,446
Sabah Mahmod,447
Aws Al Saber,448
Cigarettes After Sex,449
Tayseer Al Safeer,450
2KE,451
808iuli,452
Mitski,453
Ogryzek,454
Astknan Maghribi,455
Odetari,456
TV Girl,457
Lil Tecca,458
Theo Rose,459
Dani Mocanu,460
Mgk666,461
YNY Sebi,462
Bogdan DLP,463
Babasha,464
Ministerul Manelelor,465
Iuly Neamtu,466
Manele Mentolate,467
IDK,468
candyboii,469
RAVA,470
Gya,471
Denis Ramniceanu,472
Johny Romano,473
Sami G,474
Claudia Puican,475
andrei,476
DZWS,477
BEN,478
Tzanca Uraganu,479
Sheik,480
Karmen,481
NOUA UNSPE,482
M.G.L.,483
Erika Isac,484
Don Toliver,485
Alex Botea,486
Petre Stefan,487
Dhali,488
Oscar,489
Nutu,490
Tiago PZK,491
Ke Personajes,492
Valentino Merlo,493
The La Planta,494
Duki,495
J Abdiel,496
Yan Block,497
iZaak,498
Jay Wheeler,499
Lalo Y Los Descalzos,500
Grelo,501
Los Ángeles Azules,502
Emilia,503
JHAYCO,504
Anuel AA,505
Big One,506
FMK,507
Shakira,508
Banda Tava'i Oficial,509
Jorge Acosta,510
Arcángel,511
Daddy Yankee,512
Zion & Lennox,513
Farruko,514
Wisin,515
Trueno,516
