spotify_id;nombre;es_explicito;duracion_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;time_signature;album_id
3mg9jYNC1NihbthlglzrWP;57;True;298130;0.848;0.712;1;-3.574;0;0.0981;0.221;0.0;0.106;0.692;91.98;4;1
13BDiikG6y5o5cQTK0HpW6;Soltera - W Sound 01;True;142022;0.734;0.578;1;-4.147;1;0.295;0.155;0.000242;0.113;0.88;199.997;4;2
2btNsI4OvcVl7SAHQQDHFB;MÃ­rame;True;157453;0.717;0.656;7;-4.449;1;0.0797;0.141;2.96e-05;0.0661;0.695;175.956;4;3
0fKK51bU6lcCCwdNnv64t3;DEPORTIVO;True;218701;0.816;0.762;0;-2.864;1;0.0565;0.534;0.000404;0.0845;0.782;90.025;4;4
2ALQyXMC26Vew7JX7ert9M;POLOS OPUESTOS REMIX - BLESSD VERSION;True;216000;0.535;0.545;9;-7.98;0;0.2;0.39;0.0;0.0648;0.553;118.994;5;5
7bywjHOc0wSjGGbj04XbVi;LUNA;False;196800;0.774;0.86;7;-2.888;0;0.13;0.131;0.0;0.116;0.446;100.019;4;6
05sO6FK8E9l2cfwnEUTjHq;CUAL ES ESA;True;172506;0.916;0.481;6;-4.483;0;0.194;0.0179;0.0;0.121;0.714;95.998;4;6
1hZsWUnLbqRw09jLAMQSsb;CLASSY 101;True;195586;0.858;0.665;11;-4.772;1;0.152;0.126;0.0;0.119;0.659;100.09;4;6
2Yc3MHpZ9R5UCIz78E20AQ;ALAKRAN;False;90613;0.692;0.633;7;-3.085;0;0.0721;0.039;4.09e-05;0.118;0.319;98.088;4;6
3KwYiawBfqngH7eaUHQn2N;FDSR;False;188181;0.798;0.656;0;-2.897;0;0.181;0.0163;9.39e-06;0.0917;0.658;175.926;4;7
2gmd7lY3QSzLh0xIY4cRvi;SE ME OLVIDA;True;225373;0.786;0.707;7;-4.386;0;0.0635;0.0399;0.0;0.121;0.691;82.045;4;8
0iVEujJcafOBnxa654fJYu;Cosas Pendientes;False;184462;0.835;0.67;5;-2.748;0;0.0562;0.261;0.0;0.185;0.78;82.008;4;9
1YYfyJ2yCvGFCxwjsIqEK9;KhÃ©?;False;206066;0.687;0.627;7;-4.975;1;0.181;0.326;0.0;0.0893;0.47;155.865;4;10
0l0vcZMU7AOeQmUIREoI2U;QuÃ© PasarÃ­a...;True;191018;0.833;0.563;4;-5.593;0;0.204;0.528;1.27e-05;0.139;0.343;105.008;4;10
4lqJsJd7kqWVvamQ4aFHA8;RevolÃº;True;215511;0.728;0.688;9;-3.552;1;0.104;0.0615;2.72e-06;0.104;0.442;196.115;4;10
1uFW6czrHk5PsK3s6gOI7C;Se Fue;False;240179;0.689;0.743;8;-2.817;1;0.0328;0.0694;0.0;0.0966;0.138;119.957;4;10
2eQFYGegTZaObk2kuBz83Z;TÃº Con Ã‰l;False;289131;0.736;0.888;7;-4.518;1;0.0408;0.243;0.000205;0.239;0.788;93.05;4;10
3PJgmyLaybZtALX4mrgbiD;Espresso Martini;True;191219;0.864;0.568;8;-5.579;1;0.122;0.537;2.3e-05;0.12;0.192;123.036;4;10
0xyWkRMb09qdCDhloehCsi;Ni Me Conozco;True;229787;0.553;0.535;5;-6.681;0;0.168;0.335;0.0;0.169;0.307;90.168;4;10
5tZgkV8FTe3rtl8OcSeQAb;DÃ©jame Entrar;True;254705;0.675;0.697;0;-5.795;1;0.0483;0.343;2.89e-05;0.0996;0.262;102.006;4;10
7xdRj1wA4XzYnXynPmtmnq;Committed;True;159344;0.749;0.639;8;-5.406;1;0.108;0.129;0.0;0.12;0.483;121.982;4;10
5UxEKpzvvLnjoC10XoogN3;Cosa Nuestra;True;260454;0.688;0.679;6;-4.477;1;0.0694;0.342;2.01e-06;0.601;0.739;172.035;4;10
4jjFjbqCTkaN1mGb0BMYl2;Amar De Nuevo;True;268042;0.708;0.451;11;-6.826;1;0.0329;0.313;0.0;0.207;0.326;95.033;4;10
3HCcfBsa4TdiC0so0fPnRi;Baja Pa' AcÃ¡;True;200000;0.788;0.784;8;-2.653;1;0.075;0.395;0.0;0.219;0.503;93.009;4;10
2J0TjDpiUlwgFRvVxtaLud;Mil Mujeres;True;168922;0.658;0.852;7;-5.482;1;0.0596;0.0532;8.34e-05;0.137;0.52;147.895;4;10
7v12ia1PFVN9jSgU43rJnS;IL Capo;True;249599;0.798;0.537;8;-5.078;1;0.103;0.185;8.96e-05;0.139;0.123;125.099;4;10
0dDr2LgiACQVkZYJeStWh6;Pasaporte;False;263451;0.799;0.757;2;-3.603;1;0.0326;0.0323;4.26e-06;0.332;0.653;116.97;4;10
1UTLq40xh63wMrHELGnKWW;2:12 a. m.;True;211918;0.724;0.754;8;-3.89;1;0.0317;0.118;0.0;0.122;0.543;125.039;4;10
63jUTfcbudnrqoPCC5Qp4i;SEXXXMACHINE;True;236352;0.849;0.826;2;-3.508;1;0.0737;0.0703;0.0;0.0491;0.649;114.982;4;10
4O3EdWEn3apRHpiZxYabtl;Touching The Sky;False;185613;0.776;0.788;5;-3.656;1;0.073;0.0381;4.79e-05;0.289;0.624;128.021;4;10
7zYAuEf69m4bQmJvw0MTka;SQ - W Sound 04;True;153402;0.773;0.777;8;-5.449;0;0.168;0.383;0.0;0.106;0.908;97.086;4;11
281YJmnThveWjsWVic9Ym6;Las Piponas (Remix);True;244000;0.73;0.587;8;-4.978;1;0.083;0.0223;0.0;0.14;0.109;119.656;4;12
6WatFBLVB0x077xWeoVc2k;Si Antes Te Hubiera Conocido;False;195824;0.924;0.668;11;-6.795;1;0.0469;0.446;0.000594;0.0678;0.787;128.027;4;13
0Qe2g06yzLBuuSvVmFiweP;Hasta AquÃ­ LleguÃ©;False;188887;0.641;0.657;11;-8.338;0;0.218;0.538;0.0;0.106;0.411;100.016;4;14
