spotify_id,pais_codigo,fecha_snapshot,ranking_diario,movimiento_diario,movimiento_semanal
34eKUydsaj9GeMTT1ybutO,ZA,2024-11-11,1,0,0
21fhgH4tjYcAKzkzCuYyr6,ZA,2024-11-11,2,0,0
567NwM1L86vGvZwiZfCsMo,ZA,2024-11-11,3,1,0
7MD8gswt08VhFwVF1PR8Mg,ZA,2024-11-11,4,30,46
2ZdiSdC1ElfhEsFanMlpdO,ZA,2024-11-11,5,-2,-1
7hO6BIPeHb0Y5v9bgXoxKg,ZA,2024-11-11,6,0,1
6COIIA7XjaExDj4fkCqaB9,ZA,2024-11-11,7,7,1
3jTedBPHIIr48xoJchYHNH,ZA,2024-11-11,8,4,1
0dI8174H04ATp4iEw0WkrT,ZA,2024-11-11,9,0,3
0NLRYW9HyqHcbyzfAwskKN,ZA,2024-11-11,10,0,-5
7of6lpTmDwVshVQ7kcQxYo,ZA,2024-11-11,11,-4,-5
3H8XWGDteOl8nmUqeYrHw5,ZA,2024-11-11,12,-4,2
03el79rU07nAtJYgX1v62f,ZA,2024-11-11,13,0,-3
1DyNpDv4M8qBTthYIAPvqW,ZA,2024-11-11,14,-9,-3
6eyJuobFFGXLAOOkxrIdSV,ZA,2024-11-11,15,-4,3
1gM44tVZ9pfUe9v35Stp31,ZA,2024-11-11,16,0,-3
0X5qaCnHN98ELiqincjJwg,ZA,2024-11-11,17,0,-2
0Xc5lXQ1Q1NxGyL7SSXnF9,ZA,2024-11-11,18,0,-2
4QFMdUKVMmKgH6masoIVNr,ZA,2024-11-11,19,0,9
4zZxynw8cwhCRlDl9pay2f,ZA,2024-11-11,20,0,1
7JbLSEDlRdoJaXk5ddZae2,ZA,2024-11-11,21,4,-2
0cnbEf12FLBWx9QnBlw1EL,ZA,2024-11-11,22,1,-2
2pdid5w8VxdgMmYlp7r17z,ZA,2024-11-11,23,1,-6
1AXW0WnNUceegJHGl3HWlJ,ZA,2024-11-11,24,-9,26
6dOtVTDdiauQNBQEDOtlAB,ZA,2024-11-11,25,-3,4
3mWu4sw2LsmNX4UBfhrvC1,ZA,2024-11-11,26,3,-4
3bqCtq5RcPzULlyqkFGVJ7,ZA,2024-11-11,27,3,-4
1KpHX3zexEHvYTw0dSyfgF,ZA,2024-11-11,28,-1,-4
1S1K6RxkEkm9a9op800QEk,ZA,2024-11-11,29,8,6
5DqA8IUhk1DQSGmf6XOVrI,ZA,2024-11-11,30,2,-3
20QQlFhbWCkMJ6WhC4G2X8,ZA,2024-11-11,31,5,-6
3QaPy1KgI7nu9FJEQUgn6h,ZA,2024-11-11,32,3,14
2plbrEY59IikOBgBGLjaoe,ZA,2024-11-11,33,0,10
79r4mAwHBAB1x5QnImlUM6,ZA,2024-11-11,34,-6,-2
6Kijtp0DB6VwcoJIw7PJ9W,ZA,2024-11-11,35,8,-2
4QpVAEqq1gKIyUlEVLobAn,ZA,2024-11-11,36,14,14
