"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"2plbrEY59IikOBgBGLjaoe","Die With A Smile","Lady Gaga, Bruno Mars","1","0","1","","2024-11-11","99","False","251667","Die With A Smile","2024-08-16","0.521","0.592","6","-7.777","0","0.0304","0.308","0.0","0.122","0.535","157.969","3"
"5vNRhkKd0yEAg8suGBpjeY","APT.","ROSÉ, Bruno Mars","2","0","-1","","2024-11-11","97","False","169917","APT.","2024-10-18","0.777","0.783","0","-4.477","0","0.26","0.0283","0.0","0.355","0.939","149.027","4"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","3","0","0","","2024-11-11","97","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"7tI8dRuH2Yc6RuoTjxo4dU","Who","Jimin","4","2","0","","2024-11-11","92","False","170887","MUSE","2024-07-19","0.66","0.756","0","-3.743","0","0.032","0.00289","0.0","0.193","0.838","116.034","4"
"1cOboCuWYI2osTOfolMRS6","Tu Boda","Oscar Maydon, Fuerza Regida","5","0","0","","2024-11-11","92","True","225880","Tu Boda","2024-09-26","0.694","0.651","6","-6.968","1","0.0784","0.496","1.36e-05","0.0787","0.471","112.648","3"
"7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams","6","-2","7","","2024-11-11","90","True","166300","The Secret of Us (Deluxe)","2024-10-18","0.554","0.808","1","-4.169","1","0.0368","0.214","0.0","0.159","0.372","108.548","4"
"5G2f63n7IPVPPjfNIGih7Q","Taste","Sabrina Carpenter","7","0","-1","","2024-11-11","94","False","157279","Short n' Sweet","2024-08-23","0.674","0.907","3","-4.086","1","0.064","0.101","0.0","0.297","0.721","112.964","4"
"2HRqTpkrJO5ggZyyK6NPWz","Espresso","Sabrina Carpenter","8","1","-1","","2024-11-11","88","True","175459","Short n' Sweet","2024-08-23","0.699","0.776","0","-5.282","1","0.0293","0.131","5.36e-06","0.205","0.708","103.963","4"
"2262bWmqomIaJXwCRHr13j","Sailor Song","Gigi Perez","9","-1","-1","","2024-11-11","92","False","211978","Sailor Song","2024-07-26","0.494","0.413","11","-10.432","1","0.0254","0.682","6.72e-05","0.193","0.273","94.938","4"
"0WbMK4wrZ1wFSty9F7FCgu","Good Luck, Babe!","Chappell Roan","10","0","1","","2024-11-11","94","False","218423","Good Luck, Babe!","2024-04-05","0.7","0.582","11","-5.96","0","0.0356","0.0502","0.0","0.0881","0.785","116.712","4"
"6WatFBLVB0x077xWeoVc2k","Si Antes Te Hubiera Conocido","KAROL G","11","1","1","","2024-11-11","93","False","195824","Si Antes Te Hubiera Conocido","2024-06-21","0.924","0.668","11","-6.795","1","0.0469","0.446","0.000594","0.0678","0.787","128.027","4"
"3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","Billie Eilish","12","-1","2","","2024-11-11","92","False","261466","HIT ME HARD AND SOFT","2024-05-17","0.467","0.247","6","-12.002","0","0.0431","0.612","0.000271","0.17","0.126","148.101","4"
"3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone","13","1","2","","2024-11-11","88","False","180304","Fireworks & Rollerblades","2024-04-05","0.472","0.471","10","-5.692","1","0.0603","0.151","0.0","0.14","0.219","105.029","3"
"1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","The Weeknd, Playboi Carti","14","-1","3","","2024-11-11","91","True","256000","Timeless","2024-09-27","0.769","0.722","11","-5.485","0","0.0507","0.0584","2.56e-06","0.111","0.57","119.973","4"
"2tHwzyyOLoWSFqYNjeVMzj","Please Please Please","Sabrina Carpenter","15","1","1","","2024-11-11","87","True","186365","Short n' Sweet","2024-08-23","0.675","0.586","9","-6.086","1","0.0531","0.257","0.0","0.104","0.621","107.015","4"
"17phhZDn6oGtzMe56NuWvj","Lose Control","Teddy Swims","16","2","5","","2024-11-11","89","False","210688","I've Tried Everything But Therapy (Part 1)","2023-09-15","0.561","0.604","9","-4.409","1","0.0337","0.199","1.9e-05","0.104","0.242","159.92","3"
"0KKkJNfGyhkQ5aFogxQAPU","That's What I Like","Bruno Mars","17","5","21","","2024-11-11","87","False","206693","24K Magic","2016-11-17","0.853","0.56","1","-4.961","1","0.0406","0.013","0.0","0.0944","0.86","134.066","4"
"3mg9jYNC1NihbthlglzrWP","+57","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","18","-3","32","","2024-11-11","69","True","298130","+57","2024-11-08","0.848","0.712","1","-3.574","0","0.0981","0.221","0.0","0.106","0.692","91.98","4"
"6X6m4xmdFcz31p1h7Qg68c","EL LOKERON","Tito Double P","19","6","7","","2024-11-11","89","True","145473","INCÓMODO","2024-08-22","0.724","0.689","7","-7.174","0","0.0524","0.573","6.77e-06","0.0922","0.936","120.208","3"
"1QoyuMHNBe7lg3YW4Qtll4","St. Chroma (feat. Daniel Caesar)","Tyler, The Creator, Daniel Caesar","20","-3","-11","","2024-11-11","89","True","197019","CHROMAKOPIA","2024-10-28","0.576","0.884","0","-5.058","1","0.555","0.357","0.0","0.368","0.373","150.45","4"
"3w3y8KPTfNeOKPiqUTakBh","Locked out of Heaven","Bruno Mars","21","0","4","","2024-11-11","88","False","233478","Unorthodox Jukebox","2012-12-07","0.726","0.698","5","-4.165","1","0.0431","0.049","0.0","0.309","0.867","143.994","4"
"2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","The Neighbourhood","22","1","2","","2024-11-11","90","False","240400","I Love You.","2013-04-22","0.612","0.807","10","-2.81","1","0.0336","0.0495","0.0177","0.101","0.398","124.053","4"
"51rfRCiUSvxXlCSCfIztBy","I Love You, I'm Sorry","Gracie Abrams","23","-4","17","","2024-11-11","89","True","157146","The Secret of Us","2024-06-21","0.53","0.406","10","-7.507","1","0.033","0.656","0.0","0.133","0.338","115.94","3"
"5lKFO0PrOC9jmOlPEdjHsL","DOS DÍAS","Tito Double P, Peso Pluma","24","3","11","","2024-11-11","88","True","153928","INCÓMODO","2024-08-22","0.745","0.513","1","-9.116","1","0.087","0.783","0.0","0.216","0.929","109.935","3"
"5fZJQrFKWQLb7FpJXZ1g7K","A Bar Song (Tipsy)","Shaboozey","25","5","4","","2024-11-11","84","True","171291","Where I've Been, Isn't Where I'm Going","2024-05-31","0.722","0.706","9","-4.857","1","0.0292","0.072","0.0","0.067","0.599","80.969","4"
"3yDRcs0Y4pPzkvMbUfeF9H","Moonlit Floor (Kiss Me)","LISA","26","-2","-8","","2024-11-11","90","False","155757","Moonlit Floor (Kiss Me)","2024-10-03","0.733","0.786","5","-3.951","0","0.112","0.128","0.0","0.31","0.672","109.954","4"
"3AJwUDP919kvQ9QcozQPxg","Yellow","Coldplay","27","1","7","","2024-11-11","88","False","266773","Parachutes","2000-07-10","0.429","0.661","11","-7.227","1","0.0281","0.00239","0.000121","0.234","0.285","173.372","4"
"5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","Arctic Monkeys","28","-2","2","","2024-11-11","90","False","183956","AM","2013-09-09","0.464","0.417","0","-9.345","0","0.0256","0.136","0.022","0.0974","0.479","67.528","4"
"1UHS8Rf6h5Ar3CDWRd3wjF","Bed Chem","Sabrina Carpenter","29","2","3","","2024-11-11","91","False","171869","Short n' Sweet","2024-08-23","0.739","0.727","11","-5.968","0","0.0426","0.0678","0.0","0.104","0.676","94.99","4"
"6s1kzj4EbhFLXbuAGJbhbn","Barbie","MC Tuto, DJ Glenner","30","9","-7","","2024-11-11","84","False","192755","Barbie","2024-10-18","0.955","0.425","3","-8.242","0","0.43","0.711","0.0","0.101","0.716","127.032","4"
